Year,WAR,Homers,Hits,RBIs,Runs,Season
1923,0.4,1,11,8,6,1
1924,0.2,0,6,5,2,2
1925,3.1,20,129,68,73,3
1926,6.8,16,179,109,135,4
1927,11.8,47,218,173,149,5
1928,9.4,27,210,147,139,6
1929,7.6,35,166,125,127,7
1930,9.6,41,220,173,143,8
1931,8.8,46,211,185,163,9
1932,7.9,34,208,151,138,10
1933,6.9,32,198,140,138,11
1934,10.4,49,210,166,128,12
1935,8.6,30,176,120,125,13
1936,9.1,49,205,152,167,14
1937,7.7,37,200,158,138,15
1938,4.3,29,170,114,115,16
1939,-0.3,0,4,1,2,17
