Year,WAR,Homers,Hits,RBIs,Runs,Season
1936,4.6,29,206,125,132,1
1937,8.2,46,215,167,151,2
1938,5.4,32,194,140,129,3
1939,8.1,30,176,126,108,4
1940,7.2,31,179,133,93,5
1941,9.1,30,193,125,122,6
1942,6.1,21,186,114,123,7
1943,0,0,0,0,0,0
1944,0,0,0,0,0,0
1945,0,0,0,0,0,0
1946,5.1,20,146,95,81,11
1947,4.8,31,168,97,97,12
1948,6.9,26,190,155,110,13
1949,4.4,14,94,67,58,14
1950,5.3,33,158,122,114,15
1951,2.9,22,109,71,72,16
